ID,Time,gtd,hiv
1,2012-01,50,9
2,2012-02,39,6
3,2012-03,43,7
4,2012-04,17,7
5,2012-05,44,7
6,2012-06,22,3
7,2012-07,44,12
8,2012-08,29,9
9,2012-09,0,13
10,2012-10,43,6
11,2012-11,48,12
12,2012-12,49,5
13,2013-01,74,14
14,2013-02,78,8
15,2013-03,46,15
16,2013-04,28,14
17,2013-05,39,13
18,2013-06,33,18
19,2013-07,48,13
20,2013-08,20,15
21,2013-09,41,15
22,2013-10,44,19
23,2013-11,7,18
24,2013-12,41,11
25,2014-01,27,20
26,2014-02,28,16
27,2014-03,51,24
28,2014-04,22,13
29,2014-05,19,18
30,2014-06,37,28
31,2014-07,34,20
32,2014-08,30,25
33,2014-09,45,14
34,2014-10,40,26
35,2014-11,25,14
36,2014-12,41,24
37,2015-01,20,25
38,2015-02,44,18
39,2015-03,37,31
40,2015-04,18,19
41,2015-05,48,33
42,2015-06,12,41
43,2015-07,42,31
44,2015-08,41,32
45,2015-09,47,32
46,2015-10,39,38
47,2015-11,57,32
48,2015-12,49,43
49,2016-01,52,40
50,2016-02,34,30
51,2016-03,41,39
52,2016-04,22,41
53,2016-05,44,33
54,2016-06,36,32
55,2016-07,43,36
56,2016-08,34,40
57,2016-09,69,45
58,2016-10,67,38
59,2016-11,44,36
60,2016-12,79,39
61,2017-01,61,38
62,2017-02,64,46
63,2017-03,59,59
64,2017-04,34,38
65,2017-05,56,63
66,2017-06,44,65
67,2017-07,52,46
68,2017-08,67,76
69,2017-09,66,57
70,2017-10,65,72
71,2017-11,58,50
72,2017-12,75,66
73,2018-01,48,69
74,2018-02,48,66
75,2018-03,57,50
76,2018-04,41,43
77,2018-05,40,61
78,2018-06,36,68
79,2018-07,49,62
80,2018-08,45,58
81,2018-09,49,52
82,2018-10,59,75
83,2018-11,64,76
84,2018-12,100,66
85,2019-01,92,93
86,2019-02,70,71
87,2019-03,57,79
88,2019-04,52,55
89,2019-05,44,81
90,2019-06,51,56
91,2019-07,62,30
92,2019-08,70,82
93,2019-09,63,66
94,2019-10,80,55
95,2019-11,62,93
96,2019-12,76,40
97,2020-01,66,62
98,2020-02,53,104
99,2020-03,42,35
100,2020-04,31,2
101,2020-05,25,2
102,2020-06,23,5
103,2020-07,27,14
104,2020-08,20,0
105,2020-09,31,231
106,2020-10,61,54
107,2020-11,39,88
108,2020-12,36,22
109,2021-01,31,10
110,2021-02,37,115
111,2021-03,36,193
112,2021-04,41,66
113,2021-05,35,60
114,2021-06,29,77
115,2021-07,29,82
116,2021-08,24,75
117,2021-09,46,64
118,2021-10,39,56
119,2021-11,40,94
120,2021-12,33,79
121,2022-01,45,65
122,2022-02,53,68
123,2022-03,51,111
124,2022-04,42,73
125,2022-05,37,86
126,2022-06,34,116
127,2022-07,33,106
128,2022-08,33,82
129,2022-09,46,106
130,2022-10,43,96
131,2022-11,54,79
132,2022-12,53,102
